year,kind,severity,magnitude_pv,colson_panofsky,brown1,temperature_gradient,horizontal_divergence,vertical_wind_shear,endlich,deformation,wind_speed,ngm2,negative_richardson,rva_magnitude,ubf,nva,brown2,vorticity_squared,ti1,ngm1,ti2,f2d,ncsu1,ensemble
1997,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
1998,rate,light,0.0750767982346,0.00174815423826,0.0700319449597,0.0985326675069,0.0393606383369,0.0767536734822,0.0381080533962,0.061867030186,0.0337349897659,0.0157241848507,0.00654365851499,0.0598350941646,0.0254155644096,0.0541767463647,0.0908457920544,0.0639850857253,0.0791523736074,0.0647092457424,0.0721019848755,0.00599813662317,0.0364447623361,0.0509593609226
1998,rate,light_to_moderate,0.0342006975538,0.00061400612387,0.0218860069536,0.035312472576,0.012091693273,0.0305406999355,0.0120109763885,0.0192581132646,0.009567937219,0.00371519335601,0.000671102332606,0.0201464985919,0.00519037198083,0.018600584562,0.0341337859348,0.0153026803154,0.0291570668939,0.0225095193386,0.0266390249516,0.00114210115936,0.0118472198499,0.0173589405978
1998,rate,moderate,0.0192972388555,0.000322776487074,0.0095587885469,0.016237423149,0.00533251036433,0.0158442554985,0.00539393904224,0.00836148730924,0.00451426348572,0.00142670363359,0.000144125044546,0.00937502780018,0.00151368997849,0.00878338006707,0.0169248388313,0.00632540483613,0.0145117370031,0.0112216548333,0.0131447229954,0.000359006838057,0.00551923161638,0.00829105743886
1998,rate,moderate_to_severe,0.0112856090893,0.000181282210336,0.00456663209586,0.00799110740783,0.00255633922338,0.00873340761232,0.00260539742933,0.00397729374412,0.00240696695283,0.000641578219404,5.10416267656e-05,0.00480468347376,0.000434769074826,0.00454278272066,0.0091362631158,0.00307222473804,0.00783358749222,0.00612840115607,0.00693984760314,0.000125922991331,0.00285045576635,0.00432693303541
1998,rate,severe,0.00629398378416,0.000101944904266,0.00216034311278,0.00376817536734,0.00115339772001,0.00458651251917,0.00122377251388,0.00183377067928,0.00132405554497,0.000304858883466,2.22465151782e-05,0.00239644633116,0.000102995827661,0.00231331006654,0.00482549649366,0.00149383528092,0.00407537457174,0.00328901477713,0.00353478946432,4.74461676981e-05,0.00141274252571,0.00220307205005
1998,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
1999,rate,light,0.0578312393754,0.00119421781254,0.0623772823835,0.104298217948,0.0359780184262,0.0769753302392,0.0351979510931,0.0531476638711,0.0295420127116,0.0119723932651,0.00474118884374,0.0486544269013,0.0220480278502,0.045704064079,0.0886004664366,0.0577081995095,0.0734622604617,0.0520816785459,0.0684976040371,0.00392635072882,0.0323665708185,0.0460145316828
1999,rate,light_to_moderate,0.0252546081085,0.00046126029277,0.017721818596,0.038526876125,0.0103226970776,0.0285014487376,0.0104118999075,0.015181551879,0.00685440437916,0.00301253811789,0.000508548959411,0.0151663562409,0.00425617035024,0.0144199214184,0.0315166129139,0.0129170086617,0.0254573619381,0.0157717062944,0.0242136569896,0.000722892330782,0.00978022804184,0.0148085508267
1999,rate,moderate,0.0139729866366,0.000251225031674,0.00731952209915,0.0181776476222,0.00437365796124,0.0141623299855,0.00462815338595,0.00641346505143,0.00277858383933,0.00118912336865,9.99446572248e-05,0.00664210595552,0.00119590644531,0.00644570257055,0.0147623082044,0.00514520338224,0.0117790003814,0.00710228580432,0.0113491656448,0.000212157096281,0.00428102927683,0.00677530973336
1999,rate,moderate_to_severe,0.00807449521057,0.000128889437467,0.00343563747513,0.00909516553623,0.00204963933941,0.00756538666212,0.00229681240311,0.00303177175536,0.00131377066592,0.000554192218909,2.67771097208e-05,0.00317476713851,0.00035063986592,0.00314184491689,0.00741756749565,0.00236855268814,0.00589513885249,0.00363280094642,0.00572146248407,7.19445561903e-05,0.00204526691056,0.00339964398423
1999,rate,severe,0.00450974002284,6.73509319601e-05,0.00157092436801,0.00428984167304,0.000907089109226,0.00392890929139,0.00111005268582,0.0014008728002,0.000571370365394,0.000253217846819,1.2589488226e-05,0.00146669967377,8.88610866825e-05,0.00148518052382,0.00358696830969,0.00107032708977,0.00284117235142,0.00183424078788,0.00277047397627,2.83063100937e-05,0.000909829620679,0.00165257230062
1999,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
2000,rate,light,0.0550013062144,0.0019583211368,0.0662477836814,0.0949013434566,0.037229237685,0.0706880981268,0.0359692781743,0.0575964559425,0.037518102623,0.0170621250885,0.00616314682272,0.0534602735939,0.0251937295365,0.0490023544701,0.0842059781132,0.0622363828738,0.0732179629451,0.0590425036966,0.0669969175553,0.00576621566087,0.0343285852747,0.0473231477463
2000,rate,light_to_moderate,0.0228410867202,0.000807227946216,0.0188913297898,0.0336674418346,0.0114426342538,0.0270122789737,0.0115301694473,0.0169661886093,0.00988480993049,0.00438305521135,0.000865711632595,0.0170141180292,0.00521046260005,0.0160028429086,0.031225729777,0.0143108121146,0.0268431302048,0.0195607803884,0.0246081153257,0.00119405822398,0.0109306785985,0.0154853648819
2000,rate,moderate,0.0122560560813,0.000446057655862,0.00783762663507,0.0158213658407,0.00511205397578,0.0136861053245,0.0053647409398,0.00713565028585,0.00354741874394,0.00170538981409,0.00021486844932,0.0075562678506,0.00152396511157,0.00728458615597,0.0151136302095,0.00564871687835,0.0129686413769,0.00918656582202,0.0120644529486,0.00041506372024,0.00489955331685,0.00713279891128
2000,rate,moderate_to_severe,0.00704300734425,0.000251473632181,0.00356889650061,0.00786549468001,0.00251108387043,0.00736252714449,0.00273468877792,0.00329128871374,0.00131360033473,0.000774171884037,7.37882466124e-05,0.00366601861605,0.000449172925995,0.00362515564037,0.00778799826411,0.00253120299724,0.00666868042247,0.00468970630189,0.00638849116061,0.000163599279049,0.00235974962693,0.00357713316018
2000,rate,severe,0.00391262668008,0.00014601023542,0.00152967973994,0.00373189007199,0.00117662369688,0.00385689348003,0.00132459329881,0.00145514880359,0.000457993178714,0.00035070390775,4.08194313676e-05,0.00170707502959,0.000107781855611,0.00175999579064,0.0038601792594,0.0010721390025,0.00328591498379,0.00227753599694,0.0033102404283,6.78747286353e-05,0.00105810247899,0.00173761057519
2000,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2928
2001,rate,light,0.0731127347628,0.000862829377154,0.0687685625906,0.104682660571,0.037606738112,0.0773041739006,0.0340607266497,0.0587549788912,0.0255716684651,0.0141581653893,0.0044455877681,0.0528058278046,0.0237240924792,0.0491985649866,0.0910827362368,0.0623812738106,0.0770048866265,0.0541384737299,0.070916722798,0.00377347976804,0.0336074000396,0.0484743945122
2001,rate,light_to_moderate,0.0322765166881,0.000331977701393,0.0200434328029,0.0382956887998,0.0112512556493,0.0299699304413,0.0105245315428,0.0173688389613,0.00464294032448,0.00332236517429,0.000376807907805,0.016567620947,0.00448769281225,0.0157766912685,0.0330846298479,0.0152558901299,0.0276589770648,0.0160742127836,0.0254300433626,0.000519910904666,0.0101604869165,0.0158771639062
2001,rate,moderate,0.0180228079416,0.000208717251614,0.00808269716232,0.0179092387411,0.00486072993782,0.0154942957434,0.00476078499048,0.00709270864383,0.00119060458308,0.00121245414318,5.3402096537e-05,0.00732081150644,0.00123865648912,0.00706853773834,0.016019635867,0.00637436653505,0.0130915274979,0.00686191252184,0.0119631645506,0.000128599219021,0.00429627336995,0.00729771078716
2001,rate,moderate_to_severe,0.0105314952108,0.000135398146661,0.00350381383979,0.00879865824968,0.00230093553665,0.00868962165583,0.00239407059044,0.00314606768016,0.000284050351674,0.000503632522274,1.58659009182e-05,0.003531373628,0.000350292056471,0.00345695936144,0.00831913498282,0.00291761315065,0.00661245430822,0.00319867683752,0.00607827474389,4.51348305989e-05,0.00196004944319,0.00365588442989
2001,rate,severe,0.00596293784292,8.01739762125e-05,0.00142701505706,0.00409524616087,0.000999620275523,0.00470750450876,0.00121626522025,0.00134231160385,7.0057928976e-05,0.000209596143288,8.40706377707e-06,0.00162778877221,8.29785258818e-05,0.00164596628125,0.00416420687424,0.00126399431715,0.00320994984658,0.00139340220626,0.0030381348758,1.76010377919e-05,0.000811186559808,0.00177973071802
2001,finite,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2920
2002,rate,light,0.0702488556757,0.00261981734251,0.0783415714452,0.111960345263,0.0433590625767,0.0909854132727,0.0437418522252,0.0684186290688,0.0378500172342,0.0173587289073,0.00849524974144,0.0662883403524,0.0293375024646,0.0591564834748,0.105654167656,0.0704833232373,0.0915646516945,0.0687481395228,0.0822884639053,0.00597410461245,0.0401170289214,0.0568091308854
2002,rate,light_to_moderate,0.0337016889066,0.00148607571933,0.024725302092,0.044248808091,0.0134927996658,0.0384091717658,0.0146239728892,0.0217317324934,0.0085940715701,0.00437320955003,0.00159356867312,0.0228751050642,0.00600986976176,0.020841651716,0.0427318252012,0.018194829212,0.0359287727542,0.0229545638528,0.0321963468464,0.00126769501648,0.0131481272348,0.020149008956
