subdir,store,n_problems,problems
derived/north_atlantic_audit,diagnostics_na_2013-03.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-04.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-05.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-06.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-07.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-08.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-09.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-10.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-11.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2013-12.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2014-01.zarr,0,
derived/north_atlantic_audit,diagnostics_na_2014-02.zarr,0,
